city,date,temper,weather,windSpeed
南京,26日,25,多云转雷阵雨,<3级
南京,27日,24,中雨,<3级
南京,28日,25,中雨转大雨,3-4级转4-5级
南京,29日,22,阴转多云,<3级
南京,30日,25,晴,<3级
南京,1日,26,小雨,<3级
南京,2日,25,小雨,<3级
深圳,26日,28,雷阵雨转阵雨,3-4级
深圳,27日,28,阵雨转多云,3-4级
深圳,28日,28,阵雨转多云,3-4级
深圳,29日,28,多云,<3级
深圳,30日,27,多云转阵雨,<3级
深圳,1日,27,阵雨,<3级
深圳,2日,27,阵雨,<3级
广州,26日,26,雷阵雨,3-4级
广州,27日,27,雷阵雨,3-4级
广州,28日,28,雷阵雨,3-4级
广州,29日,28,多云,3-4级转<3级
深圳,26日,28,雷阵雨转阵雨,3-4级
深圳,27日,28,阵雨转多云,3-4级
深圳,28日,28,阵雨转多云,3-4级
深圳,29日,28,多云,<3级
深圳,30日,27,多云转阵雨,<3级
深圳,1日,27,阵雨,<3级
深圳,2日,27,阵雨,<3级
苏州,26日,25,多云转阴,3-4级
苏州,27日,25,中到大雨转中雨,4-5级转3-4级
苏州,28日,26,中雨转大雨,3-4级
苏州,29日,24,小雨转阴,4-5级转3-4级
苏州,30日,24,多云,3-4级
苏州,1日,25,小雨转多云,3-4级
苏州,2日,26,小雨转阴,3-4级
上海,26日,24,阴转小雨,<3级
上海,27日,24,大雨转小雨,3-4级转<3级
上海,28日,25,小雨转中雨,3-4级
上海,29日,23,小雨,3-4级
厦门,26日,26,多云,5-6级转3-4级
厦门,27日,26,多云,5-6级转3-4级
厦门,28日,26,多云,4-5级转3-4级
厦门,29日,26,多云,5-6级转3-4级
厦门,30日,26,多云,4-5级转3-4级
厦门,1日,26,小雨,4-5级转3-4级
厦门,2日,26,小雨,4-5级转3-4级
合肥,26日,24,雷阵雨,3-4级转<3级
合肥,27日,24,雷阵雨转中雨,<3级
合肥,28日,25,中雨转大雨,3-4级
合肥,29日,21,多云转晴,3-4级转<3级
合肥,30日,22,晴转多云,<3级
合肥,1日,24,多云转阴,<3级
合肥,2日,26,小雨,3-4级
北京,26日,19,多云,<3级
北京,27日,22,多云,<3级
北京,28日,23,多云,<3级
北京,29日,21,阴转多云,<3级
北京,30日,21,多云,<3级
杭州,26日,25,小雨,3-4级转4-5级
杭州,27日,24,中到大雨转阴,4-5级转<3级
杭州,28日,25,阴,3-4级转4-5级
杭州,29日,24,中到大雨转小雨,5-6级转3-4级
杭州,30日,23,小雨,<3级转3-4级
杭州,1日,25,小雨转阴,3-4级转<3级
杭州,2日,25,小雨转阴,3-4级
广州,30日,28,多云,3-4级转<3级
广州,1日,27,多云,3-4级转<3级
广州,2日,26,多云,3-4级
上海,30日,24,小雨转晴,3-4级转<3级
上海,1日,25,小雨转多云,<3级转3-4级
上海,2日,26,小雨转阴,3-4级
北京,1日,23,多云,<3级
北京,2日,23,雷阵雨,<3级
